How is proctitis diagnosed?,a605c109-07c5-4670-9b21-3b52fe01a53f,1
What is an inguinal hernia?,da55e178-bfec-4ad6-90f6-2476d1962fd1,1
What is lactose intolerance?,99f04d62-79bd-4775-89b6-a08e6f36385a,1
How are gallstones treated?,215f0682-7092-424c-ac85-572992b50b6e,1
What is diverticular disease?,73f591d0-d43f-4fd1-85d9-581bb811b206,1
How common is cyclic vomiting syndrome?,95bcf703-f186-4342-a94b-6fafbe8ab28b,1
How are abdominal adhesions and intestinal obstructions diagnosed?,d6e913f8-5bde-4478-a292-c1b731c7b9b6,1
What causes Whipple disease?,63cf6952-1bd0-4a16-9884-fd41c4ee5913,1
How is lactose intolerance managed?,00ff241b-3ba8-4ab2-8172-9165e0805a4f,1
What is celiac disease?,f521c48e-554f-4b92-a763-6ee9e7732d63,1
What is lactose?,8458e742-1e7a-49c3-99d9-4bafef67b8eb,1
Who gets Menetrier's disease?,44fa0160-d154-4701-b169-bc5237258552,1
How is Alagille syndrome treated?,a23aada6-86c1-4d9d-8f71-ba7a454218d3,1
How are diverticulosis and diverticular disease diagnosed?,369538cf-f84d-4059-8950-514740d48e81,1
Can stress make Crohn's disease worse?,2b88ebc1-3670-4be4-b10a-f870a71aa9f5,1
When should a person talk with a health care provider about gallstones?,644b8b13-4458-4a4d-89c4-abd5524388f7,1
How is a peptic ulcer treated?,688206c9-8661-471e-9780-a7557427d8b6,1
What is the biliary tract?,fd390d31-26f8-45e1-aebd-72fdcd650772,1
What are anatomic problems of the lower gastrointestinal (GI) tract?,37a6b5da-1266-4182-aaeb-e0c3fb53abeb,1
What causes gastroparesis?,de6b9728-2804-4ffc-8ec9-ac79abdd2fe4,1
Who is more likely to have intestinal pseudo-obstruction?,8087ae4f-5519-49f4-8284-68dbca4ff80f,1
How is primary biliary cirrhosis treated?,9f5148e6-f56d-4583-a9c8-ff7a6cc4a221,1
What are the symptoms of IBS?,3d6da627-3fcd-4e4a-b34c-627abcf60b29,1
What is a possible complication of autoimmune hepatitis and cirrhosis?,15dec990-7701-4534-85d6-75d19e41051b,1
How does lactose intolerance affect health?,ff2d2d01-c1c1-4fee-b917-0cf78cb906e5,1
What causes Zollinger-Ellison syndrome?,a4ff1aa5-eb0e-49ad-a26a-d304bef4332c,1
What is primary biliary cirrhosis?,101e9f9d-5160-4470-8948-a9e48f1e2f77,1
What is fecal incontinence?,692b0c89-61f2-45f5-9467-adee3fb5fe9e,1
Who is more likely to develop Wilson disease?,34e3fc35-39b9-4730-9126-6c9160333fe5,1
What causes Alagille syndrome?,da3ae2ea-1029-420b-9586-c7973bb525c8,1
What are the complications of primary biliary cirrhosis?,22da76a4-143b-4166-8f93-5e6a87dcd0c8,1
What causes Wilson disease?,6e1b9b63-c8f8-4d28-94f4-549b554006e0,1
How is viral gastroenteritis diagnosed?,7a17f8b6-ade2-48f9-a3c7-b1b69ebdaee4,1
How are hemorrhoids diagnosed?,e1ab182a-faec-407d-8eb2-3c98e1bfcf65,1
What if a child has fecal incontinence?,8ef8420f-73c0-49f7-b89f-bf3887716133,1
How does smoking affect heartburn and GERD?,e9e18983-f23d-4a96-b404-e29dfb1f3df1,1
How common is pancreatitis in children?,eef77a7c-08bf-4f13-b3d7-213140d05609,1
What causes abdominal adhesions?,49ceb23a-f98c-47e8-8f5b-7d476dcc7391,1
